iter	Accuracy	Logloss
0	0.6987847222	0.6929435459
1	0.6979166667	0.692761577
2	0.6953125	0.6925718674
3	0.6961805556	0.6923658718
4	0.6953125	0.6921529023
5	0.6953125	0.6919632925
6	0.6953125	0.6917616609
7	0.6970486111	0.6915567632
8	0.6970486111	0.6913485004
9	0.6970486111	0.6911433669
10	0.6961805556	0.6909494108
11	0.6953125	0.6907785345
12	0.6961805556	0.690603709
13	0.6953125	0.6904056557
14	0.6953125	0.6902180761
15	0.6953125	0.6900320786
16	0.6953125	0.6898192884
17	0.6953125	0.6896239997
